"Description: ","Monthly number of days when TN < 2 degrees_C"
"Station: ","9434001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, tnlt2, normalised (all years)
1979-01, 0, -0.778886024820664
1979-02, 0, -0.778886024820664
1979-03, 0, -0.778886024820664
1979-04, 1, -0.582081405202198
1979-05, 4, 0.00833245365320122
1979-06, 16, 2.3699878890748
1979-07, 14, 1.97637864983786
1979-08, 5, 0.205137073271668
1979-09, 10, 1.189160171364
1979-10, 1, -0.582081405202198
1979-11, 1, -0.582081405202198
1979-12, 0, -0.778886024820664
1980-01, 0, -0.778886024820664
1980-02, 0, -0.778886024820664
1980-03, 0, -0.778886024820664
1980-04, 5, 0.205137073271668
1980-05, 2, -0.385276785583731
1980-06, 13, 1.7795740302194
1980-07, 10, 1.189160171364
1980-08, 9, 0.992355551745533
1980-09, 6, 0.401941692890134
1980-10, 6, 0.401941692890134
1980-11, 0, -0.778886024820664
1980-12, 0, -0.778886024820664
1981-01, 0, -0.778886024820664
1981-02, 0, -0.778886024820664
1981-03, 0, -0.778886024820664
1981-04, 0, -0.778886024820664
1981-05, 2, -0.385276785583731
1981-06, 5, 0.205137073271668
1981-07, 13, 1.7795740302194
1981-08, 8, 0.795550932127067
1981-09, 8, 0.795550932127067
1981-10, 3, -0.188472165965265
1981-11, 0, -0.778886024820664
1981-12, 0, -0.778886024820664
1982-01, 0, -0.778886024820664
1982-02, 0, -0.778886024820664
1982-03, 1, -0.582081405202198
1982-04, 0, -0.778886024820664
1982-05, 0, -0.778886024820664
1982-06, 12, 1.58276941060093
1982-07, 8, 0.795550932127067
1982-08, 8, 0.795550932127067
1982-09, 2, -0.385276785583731
1982-10, 0, -0.778886024820664
1982-11, 0, -0.778886024820664
1982-12, 0, -0.778886024820664
1983-01, 0, -0.778886024820664
1983-02, 0, -0.778886024820664
1983-03, 0, -0.778886024820664
1983-04, 0, -0.778886024820664
1983-05, 4, 0.00833245365320122
1983-06, 14, 1.97637864983786
1983-07, 17, 2.56679250869326
1983-08, 13, 1.7795740302194
1983-09, 13, 1.7795740302194
1983-10, 1, -0.582081405202198
1983-11, 0, -0.778886024820664
1983-12, 0, -0.778886024820664
1984-01, 0, -0.778886024820664
1984-02, 0, -0.778886024820664
1984-03, 0, -0.778886024820664
1984-04, 6, 0.401941692890134
1984-05, 4, 0.00833245365320122
1984-06, 19, 2.9604017479302
1984-07, 14, 1.97637864983786
1984-08, 12, 1.58276941060093
1984-09, 2, -0.385276785583731
1984-10, 2, -0.385276785583731
1984-11, 0, -0.778886024820664
1984-12, 0, -0.778886024820664
1985-01, 0, -0.778886024820664
1985-02, 0, -0.778886024820664
1985-03, 0, -0.778886024820664
1985-04, 6, 0.401941692890134
1985-05, 3, -0.188472165965265
1985-06, 2, -0.385276785583731
1985-07, 15, 2.17318326945633
1985-08, 11, 1.38596479098247
1985-09, 12, 1.58276941060093
1985-10, 2, -0.385276785583731
1985-11, 0, -0.778886024820664
1985-12, 0, -0.778886024820664
1986-01, 0, -0.778886024820664
1986-02, 0, -0.778886024820664
1986-03, 0, -0.778886024820664
1986-04, 1, -0.582081405202198
1986-05, 5, 0.205137073271668
1986-06, 9, 0.992355551745533
1986-07, 10, 1.189160171364
1986-08, 11, 1.38596479098247
1986-09, 7, 0.5987463125086
1986-10, 0, -0.778886024820664
1986-11, 0, -0.778886024820664
1986-12, 0, -0.778886024820664
1987-01, 0, -0.778886024820664
1987-02, 0, -0.778886024820664
1987-03, 0, -0.778886024820664
1987-04, 0, -0.778886024820664
1987-05, 7, 0.5987463125086
1987-06, 9, 0.992355551745533
1987-07, 6, 0.401941692890134
1987-08, 10, 1.189160171364
1987-09, 7, 0.5987463125086
1987-10, 1, -0.582081405202198
1987-11, 0, -0.778886024820664
1987-12, 0, -0.778886024820664
1988-01, 0, -0.778886024820664
1988-02, 0, -0.778886024820664
1988-03, 0, -0.778886024820664
1988-04, 1, -0.582081405202198
1988-05, 6, 0.401941692890134
1988-06, 11, 1.38596479098247
1988-07, 18, 2.76359712831173
1988-08, 6, 0.401941692890134
1988-09, 2, -0.385276785583731
1988-10, 4, 0.00833245365320122
1988-11, 0, -0.778886024820664
1988-12, 0, -0.778886024820664
1989-01, 0, -0.778886024820664
1989-02, 0, -0.778886024820664
1989-03, 0, -0.778886024820664
1989-04, 2, -0.385276785583731
1989-05, 10, 1.189160171364
1989-06, 2, -0.385276785583731
1989-07, 12, 1.58276941060093
1989-08, 9, 0.992355551745533
1989-09, 8, 0.795550932127067
1989-10, 2, -0.385276785583731
1989-11, 0, -0.778886024820664
1989-12, 0, -0.778886024820664
1990-01, 0, -0.778886024820664
1990-02, 0, -0.778886024820664
1990-03, 0, -0.778886024820664
1990-04, 2, -0.385276785583731
1990-05, 8, 0.795550932127067
1990-06, 10, 1.189160171364
1990-07, 11, 1.38596479098247
1990-08, 9, 0.992355551745533
1990-09, 5, 0.205137073271668
1990-10, 1, -0.582081405202198
1990-11, 0, -0.778886024820664
1990-12, 0, -0.778886024820664
1991-01, 0, -0.778886024820664
1991-02, 0, -0.778886024820664
1991-03, 0, -0.778886024820664
1991-04, 0, -0.778886024820664
1991-05, 5, 0.205137073271668
1991-06, 7, 0.5987463125086
1991-07, 12, 1.58276941060093
1991-08, 13, 1.7795740302194
1991-09, 3, -0.188472165965265
1991-10, 6, 0.401941692890134
1991-11, 0, -0.778886024820664
1991-12, 0, -0.778886024820664
1992-01, 0, -0.778886024820664
1992-02, 0, -0.778886024820664
1992-03, 0, -0.778886024820664
1992-04, 2, -0.385276785583731
1992-05, 7, 0.5987463125086
1992-06, 8, 0.795550932127067
1992-07, 19, 2.9604017479302
1992-08, 8, 0.795550932127067
1992-09, 5, 0.205137073271668
1992-10, 4, 0.00833245365320122
1992-11, 1, -0.582081405202198
1992-12, 0, -0.778886024820664
1993-01, 0, -0.778886024820664
1993-02, 0, -0.778886024820664
1993-03, 0, -0.778886024820664
1993-04, 0, -0.778886024820664
1993-05, 5, 0.205137073271668
1993-06, 5, 0.205137073271668
1993-07, 19, 2.9604017479302
1993-08, 17, 2.56679250869326
1993-09, 10, 1.189160171364
1993-10, 3, -0.188472165965265
1993-11, 0, -0.778886024820664
1993-12, 0, -0.778886024820664
1994-01, 0, -0.778886024820664
1994-02, 0, -0.778886024820664
1994-03, 0, -0.778886024820664
1994-04, 3, -0.188472165965265
1994-05, 4, 0.00833245365320122
1994-06, 2, -0.385276785583731
1994-07, 13, 1.7795740302194
1994-08, 16, 2.3699878890748
1994-09, 3, -0.188472165965265
1994-10, 0, -0.778886024820664
1994-11, 0, -0.778886024820664
1994-12, 0, -0.778886024820664
1995-01, 0, -0.778886024820664
1995-02, 0, -0.778886024820664
1995-03, 0, -0.778886024820664
1995-04, 0, -0.778886024820664
1995-05, 4, 0.00833245365320122
1995-06, 7, 0.5987463125086
1995-07, 16, 2.3699878890748
1995-08, 17, 2.56679250869326
1995-09, 12, 1.58276941060093
1995-10, 1, -0.582081405202198
1995-11, 0, -0.778886024820664
1995-12, 0, -0.778886024820664
1996-01, 0, -0.778886024820664
1996-02, 0, -0.778886024820664
1996-03, 0, -0.778886024820664
1996-04, 2, -0.385276785583731
1996-05, 8, 0.795550932127067
1996-06, 19, 2.9604017479302
1996-07, 10, 1.189160171364
1996-08, 5, 0.205137073271668
1996-09, 8, 0.795550932127067
1996-10, 1, -0.582081405202198
1996-11, 0, -0.778886024820664
1996-12, 0, -0.778886024820664
1997-01, 0, -0.778886024820664
1997-02, 0, -0.778886024820664
1997-03, 0, -0.778886024820664
1997-04, 0, -0.778886024820664
1997-05, 4, 0.00833245365320122
1997-06, 3, -0.188472165965265
1997-07, 7, 0.5987463125086
1997-08, 11, 1.38596479098247
1997-09, 5, 0.205137073271668
1997-10, 0, -0.778886024820664
1997-11, 0, -0.778886024820664
1997-12, 0, -0.778886024820664
1998-01, 0, -0.778886024820664
1998-02, 0, -0.778886024820664
1998-03, 0, -0.778886024820664
1998-04, 3, -0.188472165965265
1998-05, 0, -0.778886024820664
1998-06, 6, 0.401941692890134
1998-07, 10, 1.189160171364
1998-08, 15, 2.17318326945633
1998-09, 10, 1.189160171364
1998-10, 2, -0.385276785583731
1998-11, 1, -0.582081405202198
1998-12, 0, -0.778886024820664
1999-01, 0, -0.778886024820664
1999-02, 0, -0.778886024820664
1999-03, 0, -0.778886024820664
1999-04, 2, -0.385276785583731
1999-05, 3, -0.188472165965265
1999-06, 12, 1.58276941060093
1999-07, 14, 1.97637864983786
1999-08, 3, -0.188472165965265
1999-09, 2, -0.385276785583731
1999-10, 1, -0.582081405202198
1999-11, 0, -0.778886024820664
1999-12, 0, -0.778886024820664
2000-01, 0, -0.778886024820664
2000-02, 0, -0.778886024820664
2000-03, 0, -0.778886024820664
2000-04, 2, -0.385276785583731
2000-05, 0, -0.778886024820664
2000-06, 5, 0.205137073271668
2000-07, 18, 2.76359712831173
2000-08, 7, 0.5987463125086
2000-09, 9, 0.992355551745533
2000-10, 1, -0.582081405202198
2000-11, 1, -0.582081405202198
2000-12, 0, -0.778886024820664
2001-01, 0, -0.778886024820664
2001-02, 0, -0.778886024820664
2001-03, 0, -0.778886024820664
2001-04, 6, 0.401941692890134
2001-05, 1, -0.582081405202198
2001-06, 8, 0.795550932127067
2001-07, 11, 1.38596479098247
2001-08, 10, 1.189160171364
2001-09, 6, 0.401941692890134
2001-10, 3, -0.188472165965265
2001-11, 1, -0.582081405202198
2001-12, 0, -0.778886024820664
2002-01, 0, -0.778886024820664
2002-02, 0, -0.778886024820664
2002-03, 0, -0.778886024820664
2002-04, 4, 0.00833245365320122
2002-05, 3, -0.188472165965265
2002-06, 15, 2.17318326945633
2002-07, 10, 1.189160171364
2002-08, 6, 0.401941692890134
2002-09, 3, -0.188472165965265
2002-10, 1, -0.582081405202198
2002-11, 0, -0.778886024820664
2002-12, 0, -0.778886024820664
2003-01, 0, -0.778886024820664
2003-02, 0, -0.778886024820664
2003-03, 0, -0.778886024820664
2003-04, 3, -0.188472165965265
2003-05, 6, 0.401941692890134
2003-06, 5, 0.205137073271668
2003-07, 16, 2.3699878890748
2003-08, 11, 1.38596479098247
2003-09, 4, 0.00833245365320122
2003-10, 3, -0.188472165965265
2003-11, 0, -0.778886024820664
2003-12, 0, -0.778886024820664
2004-01, 0, -0.778886024820664
2004-02, 0, -0.778886024820664
2004-03, 0, -0.778886024820664
2004-04, 1, -0.582081405202198
2004-05, 7, 0.5987463125086
2004-06, 6, 0.401941692890134
2004-07, 8, 0.795550932127067
2004-08, 10, 1.189160171364
2004-09, 8, 0.795550932127067
2004-10, 0, -0.778886024820664
2004-11, 0, -0.778886024820664
2004-12, 0, -0.778886024820664
2005-01, 0, -0.778886024820664
2005-02, 0, -0.778886024820664
2005-03, 0, -0.778886024820664
2005-04, 1, -0.582081405202198
2005-05, 2, -0.385276785583731
2005-06, 7, 0.5987463125086
2005-07, 11, 1.38596479098247
2005-08, 11, 1.38596479098247
2005-09, 8, 0.795550932127067
2005-10, 2, -0.385276785583731
2005-11, 0, -0.778886024820664
2005-12, 0, -0.778886024820664
2006-01, 0, -0.778886024820664
2006-02, 0, -0.778886024820664
2006-03, 0, -0.778886024820664
2006-04, 3, -0.188472165965265
2006-05, 5, 0.205137073271668
2006-06, 2, -0.385276785583731
2006-07, 6, 0.401941692890134
2006-08, 10, 1.189160171364
2006-09, 10, 1.189160171364
2006-10, 1, -0.582081405202198
2006-11, 1, -0.582081405202198
2006-12, 0, -0.778886024820664
2007-01, 0, -0.778886024820664
2007-02, 0, -0.778886024820664
2007-03, 0, -0.778886024820664
2007-04, 2, -0.385276785583731
2007-05, 10, 1.189160171364
2007-06, 11, 1.38596479098247
2007-07, 11, 1.38596479098247
2007-08, 26, 4.33803408525946
2007-09, 6, 0.401941692890134
2007-10, 2, -0.385276785583731
2007-11, 0, -0.778886024820664
2007-12, 0, -0.778886024820664
2008-01, 0, -0.778886024820664
2008-02, 0, -0.778886024820664
2008-03, 0, -0.778886024820664
2008-04, 5, 0.205137073271668
2008-05, 9, 0.992355551745533
2008-06, 8, 0.795550932127067
2008-07, 4, 0.00833245365320122
2008-08, 7, 0.5987463125086
2008-09, 7, 0.5987463125086
2008-10, 3, -0.188472165965265
2008-11, 0, -0.778886024820664
2008-12, 0, -0.778886024820664
2009-01, 0, -0.778886024820664
2009-02, 0, -0.778886024820664
2009-03, 0, -0.778886024820664
2009-04, 0, -0.778886024820664
2009-05, 6, 0.401941692890134
2009-06, 12, 1.58276941060093
2009-07, 22, 3.5508156067856
2009-08, 4, 0.00833245365320122
2009-09, 15, 2.17318326945633
2009-10, 4, 0.00833245365320122
2009-11, 2, -0.385276785583731
2009-12, 0, -0.778886024820664
2010-01, 0, -0.778886024820664
2010-02, 0, -0.778886024820664
2010-03, 0, -0.778886024820664
2010-04, 2, -0.385276785583731
2010-05, 12, 1.58276941060093
2010-06, 3, -0.188472165965265
2010-07, 14, 1.97637864983786
2010-08, 12, 1.58276941060093
2010-09, 7, 0.5987463125086
2010-10, 3, -0.188472165965265
2010-11, 1, -0.582081405202198
2010-12, 0, -0.778886024820664
2011-01, 0, -0.778886024820664
2011-02, 0, -0.778886024820664
2011-03, 0, -0.778886024820664
2011-04, 2, -0.385276785583731
2011-05, 10, 1.189160171364
2011-06, 10, 1.189160171364
2011-07, 15, 2.17318326945633
2011-08, 12, 1.58276941060093
2011-09, 4, 0.00833245365320122
2011-10, 1, -0.582081405202198
2011-11, 0, -0.778886024820664
2011-12, 0, -0.778886024820664
2012-01, 0, -0.778886024820664
2012-02, 0, -0.778886024820664
2012-03, 0, -0.778886024820664
2012-04, 0, -0.778886024820664
2012-05, 6, 0.401941692890134
2012-06, 12, 1.58276941060093
2012-07, 16, 2.3699878890748
2012-08, 12, 1.58276941060093
2012-09, 3, -0.188472165965265
2012-10, 3, -0.188472165965265
2012-11, 1, -0.582081405202198
2012-12, 0, -0.778886024820664
2013-01, 0, -0.778886024820664
2013-02, 0, -0.778886024820664
2013-03, 0, -0.778886024820664
2013-04, 2, -0.385276785583731
2013-05, 3, -0.188472165965265
2013-06, 12, 1.58276941060093
2013-07, 15, 2.17318326945633
2013-08, 14, 1.97637864983786
2013-09, 12, 1.58276941060093
2013-10, 1, -0.582081405202198
2013-11, 0, -0.778886024820664
2013-12, 0, -0.778886024820664
2014-01, 0, -0.778886024820664
2014-02, 0, -0.778886024820664
2014-03, 0, -0.778886024820664
2014-04, 3, -0.188472165965265
2014-05, 4, 0.00833245365320122
2014-06, 10, 1.189160171364
2014-07, 9, 0.992355551745533
2014-08, 8, 0.795550932127067
2014-09, 6, 0.401941692890134
2014-10, 2, -0.385276785583731
2014-11, 1, -0.582081405202198
2014-12, 0, -0.778886024820664
2015-01, 0, -0.778886024820664
2015-02, 0, -0.778886024820664
2015-03, 0, -0.778886024820664
2015-04, 1, -0.582081405202198
2015-05, 4, 0.00833245365320122
2015-06, 7, 0.5987463125086
2015-07, 10, 1.189160171364
2015-08, 6, 0.401941692890134
2015-09, 11, 1.38596479098247
2015-10, 2, -0.385276785583731
2015-11, 1, -0.582081405202198
2015-12, 0, -0.778886024820664
2016-01, 0, -0.778886024820664
2016-02, 0, -0.778886024820664
2016-03, 0, -0.778886024820664
2016-04, 2, -0.385276785583731
2016-05, 1, -0.582081405202198
2016-06, 15, 2.17318326945633
2016-07, 8, 0.795550932127067
2016-08, 7, 0.5987463125086
2016-09, 3, -0.188472165965265
2016-10, 1, -0.582081405202198
2016-11, 0, -0.778886024820664
2016-12, 0, -0.778886024820664
2017-01, 0, -0.778886024820664
2017-02, 0, -0.778886024820664
2017-03, 0, -0.778886024820664
2017-04, 0, -0.778886024820664
2017-05, 10, 1.189160171364
2017-06, 9, 0.992355551745533
2017-07, 15, 2.17318326945633
2017-08, 11, 1.38596479098247
2017-09, 10, 1.189160171364
2017-10, 0, -0.778886024820664
2017-11, 0, -0.778886024820664
2017-12, 0, -0.778886024820664
2018-01, 0, -0.778886024820664
2018-02, 0, -0.778886024820664
2018-03, 0, -0.778886024820664
2018-04, 6, 0.401941692890134
2018-05, 4, 0.00833245365320122
2018-06, 14, 1.97637864983786
2018-07, 16, 2.3699878890748
2018-08, 10, 1.189160171364
2018-09, 5, 0.205137073271668
2018-10, 3, -0.188472165965265
2018-11, 0, -0.778886024820664
2018-12, 0, -0.778886024820664
2019-01, 0, -0.778886024820664
2019-02, 0, -0.778886024820664
2019-03, 0, -0.778886024820664
2019-04, 0, -0.778886024820664
2019-05, 3, -0.188472165965265
2019-06, 7, 0.5987463125086
2019-07, 9, 0.992355551745533
2019-08, 9, 0.992355551745533
2019-09, 9, 0.992355551745533
2019-10, 3, -0.188472165965265
2019-11, 0, -0.778886024820664
2019-12, 0, -0.778886024820664
2020-01, 0, -0.778886024820664
2020-02, 0, -0.778886024820664
2020-03, 0, -0.778886024820664
2020-04, 2, -0.385276785583731
2020-05, -99.9, -99.9
2020-06, -99.9, -99.9
2020-07, -99.9, -99.9
2020-08, -99.9, -99.9
2020-09, -99.9, -99.9
2020-10, -99.9, -99.9
2020-11, -99.9, -99.9
2020-12, -99.9, -99.9
